Date,Portfolio Return,Wealth Index
2015-01-02,-0.0011165111177144302,0.998884111948915
2015-01-05,-0.01731450305145972,0.9817377982534438
2015-01-06,0.03575373177384463,1.0174736259991017
2015-01-07,0.01694219110294199,1.0348587135042349
2015-01-08,0.013752463433398514,1.0491888818233557
2015-01-09,-0.014483725541454613,1.034102237164809
2015-01-12,0.005400194302107201,1.0397016956479839
2015-01-13,0.015659617287845994,1.056111174039849
2015-01-14,-0.03824186165114331,1.0164860155487578
2015-01-15,0.015084763637536866,1.0319357012994077
2015-01-16,-0.003254434574868471,1.028582792943814
2015-01-19,0.011421608773842335,1.0403982102872706
2015-01-20,0.004554832821401687,1.0451478589190069
2015-01-21,0.006055401021725526,1.0514958487465367
2015-01-22,0.01211998859866127,1.06431750867916
2015-01-23,0.0008320308332148086,1.0652034221652713
2015-01-26,0.008185389748420369,1.073958309537878
2015-01-27,0.01523008046668021,1.0904399709418047
2015-01-28,0.014429366764379985,1.1062883956051528
2015-01-29,-0.003463158868526136,1.1024637696030382
2015-01-30,0.006457009729871162,1.1096054209332185
2015-02-02,0.009785178665911621,1.1205164041255316
2015-02-03,-0.006590490371563296,1.1131559327523735
2015-02-04,-0.010237904177224515,1.101817687944855
2015-02-05,0.000617022397902713,1.1024977439200307
2015-02-06,0.0013281842309972695,1.1039630369123314
2015-02-09,0.0019253536891398338,1.1060906037201874
2015-02-10,-8.900854111199865e-05,1.1059921565905952
2015-02-11,0.0016701402361679022,1.1078408619610887
2015-02-12,-0.01798360599236319,1.0880959627797164
2015-02-13,-0.005667749548723684,1.0819463510693883
2015-02-16,-0.004436723978114154,1.0771566868165352
2015-02-17,-0.00648073405855563,1.0701984922477603
2015-02-18,-0.012716298627708735,1.0566756908439294
2015-02-19,0.014202060774159532,1.071789734467738
2015-02-20,-0.0021001725116726257,1.069541153159932
2015-02-23,0.006302450876368413,1.076303169994679
2015-02-24,4.427874639785067e-05,1.0763508284049101
2015-02-25,-0.0014829605294029635,1.0747558255660297
2015-02-26,0.009507812649945498,1.0850231350819308
2015-02-27,0.00019699595440535265,1.0852369013048275
2015-03-02,-0.006660923500516764,1.0780322428028082
2015-03-03,0.00732053766732017,1.085952975079506
2015-03-04,-0.00356262056434909,1.0820910201034255
2015-03-05,0.002413257296376002,1.0847055376359176
2015-03-06,-0.0100534962441712,1.0738550884525935
2015-03-09,-0.02379428766400471,1.0486050660190647
2015-03-10,0.0011205885317442728,1.0497807794528393
2015-03-11,-0.0020853482028812707,1.0475939019839897
2015-03-12,0.01112901327230703,1.0593177045966107
2015-03-13,-0.008280271718135621,1.0505824810881008
2015-03-16,0.009269976835111543,1.0603666357299877
2015-03-17,0.01544912156111793,1.0768755646547323
2015-03-18,-0.00035558911076451026,1.0764927075042439
2015-03-19,0.025241848768700833,1.1040112216082985
2015-03-20,-0.006134347167766934,1.0972595631784094
2015-03-23,0.00401973530705233,1.1016791329848659
2015-03-24,0.017024063178585326,1.120594741565841
2015-03-25,-0.008099937236498966,1.1115546559803824
2015-03-26,-0.004109490665598142,1.1069961055728683
2015-03-27,-0.003373084121093654,1.1032684050451635
2015-03-30,0.015697802981983262,1.1207239434557759
2015-03-31,0.010954962068938484,1.1330689277020536
2015-04-01,-0.0016061479962704225,1.1312505120274503
2015-04-02,0.0014103801430456811,1.132847130941568
2015-04-03,0.0,1.132847130941568
2015-04-06,0.0,1.132847130941568
2015-04-07,0.009122140101505118,1.143228398885595
2015-04-08,-0.004924669900896397,1.1376122166719804
2015-04-09,0.0006967923742909358,1.1384051724201338
2015-04-10,0.007083417006644523,1.146497598155657
2015-04-13,0.00816010519854461,1.1558914143047891
2015-04-14,-0.0055999266403450295,1.1494365972994687
2015-04-15,-0.00164947119040801,1.1475421975554396
2015-04-16,-0.001547169708474024,1.1457681277755858
2015-04-17,-0.02123389838536494,1.1216954862684823
2015-04-20,0.014353168704224085,1.1379114677852968
2015-04-21,0.017182288940407985,1.1576323310166037
2015-04-22,0.008190910800855383,1.1671533337912887
