,Weight
ABSA,9.947790156794255e-16
ANGLO,0.09265413413137423
BIDVEST,0.19999999999999996
CAPITEC,0.1999999999999995
DISCOVERY,0.007516931040656519
FIRSTRAND,0.0
GOLDFIELDS,0.2
MRPRICE,3.218419985826145e-17
MTN,2.966192065749512e-17
NASPERS,0.19999999999999993
NEDBANK,3.631232798527132e-17
SANLAM,0.0
SASOL,4.985555595734196e-16
SHOPRITE,0.0989602754131753
STANDARDBANK,1.0369770748912298e-16
VODACOM,0.0008686594147934148
WOOLWORTHS,0.0
