Return,Volatility,Sharpe
-0.03821085653790539,0.2517450251220472,-0.15178395886624008
-0.03451519617451981,0.2452042635560338,-0.1407609952370687
-0.030819535810077573,0.24047762217588894,-0.12815968293106167
-0.027123875445806925,0.23639650995467615,-0.11473889970290735
-0.023428215082460607,0.23272873024761098,-0.10066748122388772
-0.01973255471867591,0.2294176750905768,-0.08601148412338006
-0.016036894354662153,0.22626384392047985,-0.0708769641529572
-0.012341233990916457,0.22322140134922344,-0.05528696583894728
-0.00864557362705446,0.22029314011852785,-0.03924576871709552
-0.004949913263301099,0.21748367839036814,-0.022759929848236
-0.0012542528992182777,0.21479767644093076,-0.005839229362256144
0.00244140746456386,0.21223920151777462,0.011503093901149062
0.006137067828568192,0.2098102563736384,0.029250561600949854
0.009832728192527887,0.20750956158389397,0.04738445841953464
0.013528388557650149,0.2053405165105242,0.06588270443430382
0.017224048919938985,0.2033040024175425,0.08472065830049183
0.02091970928308815,0.2013782260266278,0.10388267736712499
0.024615369646027424,0.19955313135487845,0.12335245996341843
0.028311030011876303,0.19783163110196664,0.14310669054375938
0.032006690375319564,0.196217590742339,0.1631183537328659
0.03570235073932035,0.19471306722120116,0.1833587814564144
0.039398011103441995,0.19332063781690526,0.20379619862808443
0.04309367146692372,0.19204282094644565,0.22439615943228158
0.04678933183079478,0.1908825650210022,0.24512103463009677
0.05048499219426255,0.1898398116698843,0.2659346938357259
0.0541806525582852,0.18891859158929306,0.286793650653893
0.05787631292240114,0.18811738389237012,0.3076606304259186
0.061571973286567355,0.18742350055205545,0.3285178918609847
0.06526763364950539,0.18680474747107798,0.3493895874333196
0.06896329401356015,0.18626000491847292,0.3702528304116913
0.07265895437823679,0.1857898422134584,0.39108141496108906
0.07635461474264471,0.18539492544638042,0.411848461109729
0.08005027510465135,0.18507480415644612,0.43252929792098455
0.08374593546923101,0.18483164816013914,0.4530930514490304
0.08744159583295069,0.18466503775332285,0.47351462354100793
0.09113725619607797,0.1845747728168303,0.4937687572641438
0.09483291656143458,0.1845638101663205,0.5138218401320144
0.09852857692288285,0.18463264862778764,0.5336465552282288
0.10222423728898947,0.1847865654939524,0.5532016735942582
0.10591989765409277,0.18503655787728499,0.5724268699612222
0.10961555801647081,0.185393606316342,0.5912585670804142
0.11331121838067855,0.18586802257308216,0.6096326673735676
0.11700687874402346,0.18646120637248023,0.6275132560833441
0.12070253910705195,0.18717347466974663,0.6448698958013277
0.12439819947105263,0.18806889076189234,0.6614501684308277
0.12809385983442775,0.1891926528716814,0.6770551492890504
0.1317895201994839,0.19055613094529225,0.6916047232157544
0.1354851805629314,0.192240070365459,0.7047707603589958
0.13918084092305816,0.19416445111540623,0.716819377200684
0.14287650129058196,0.19632086060611043,0.7277703492612694
0.14657216165563897,0.19874822852211277,0.7374765689513118
0.15026782201747063,0.20146577393435172,0.7458727062316595
0.15396348238144805,0.20446005808923853,0.7530247414595237
0.15765914275123677,0.20828416069456496,0.7569425453452198
0.16135480311373446,0.21357945900125105,0.7554790328071265
0.16505046347273977,0.22187644335262308,0.7438845736788241
