Date,ABSA,ANGLO,BIDVEST,CAPITEC,DISCOVERY,FIRSTRAND,GOLDFIELDS,MRPRICE,MTN,NASPERS,NEDBANK,SANLAM,SASOL,SHOPRITE,STANDARDBANK,VODACOM,WOOLWORTHS
2015-01-16,17939.62890625,18638.791015625,7856.1416015625,32533.216796875,11340.70703125,4796.7802734375,6615.107421875,23897.701171875,19959.828125,19595.72265625,23543.974609375,6307.1689453125,38267.96875,17174.81640625,13933.1611328125,12784.8427734375,7947.482421875
2015-01-19,17982.306640625,18741.126953125,7933.26123046875,32932.40625,11447.6640625,4746.078125,6674.9453125,24037.099609375,20307.033203125,19872.072265625,23780.283203125,6383.73291015625,39488.53515625,17497.85546875,13983.83203125,12859.3486328125,7947.482421875
2015-01-20,17938.642578125,19248.912109375,7999.59814453125,33031.1953125,11205.5458984375,4805.72900390625,6691.8984375,24026.150390625,20090.150390625,19877.599609375,24152.626953125,6381.74560546875,38368.6953125,17395.158203125,14103.0556640625,12764.9765625,8067.98876953125
2015-01-21,18073.62109375,18819.095703125,8224.4921875,33022.2109375,11269.720703125,4748.06591796875,6508.3955078125,24801.830078125,20145.87109375,20500.13671875,24193.33984375,6512.00537109375,38857.3046875,17747.109375,14182.5361328125,13141.46875,8459.3876953125
2015-01-22,18450.76953125,19346.373046875,8184.04248046875,34429.32421875,11060.6611328125,4821.634765625,6511.38818359375,25606.380859375,20166.755859375,20550.509765625,24539.86328125,6622.37841796875,39899.375,18067.154296875,14460.7216796875,12981.53125,8515.158203125
2015-01-23,18721.728515625,18578.369140625,8348.2626953125,35507.1171875,11114.1455078125,4874.3251953125,6288.9892578125,25629.287109375,20300.07421875,20713.68359375,24574.611328125,6762.5810546875,40124.72265625,18023.28515625,14406.078125,13281.537109375,8422.5390625
2015-01-26,18978.791015625,18503.322265625,8475.5380859375,36525.02734375,11171.513671875,4945.90283203125,6019.71728515625,25886.18359375,20768.650390625,21404.560546875,24697.734375,6723.8017578125,41413.09375,18395.1796875,14654.458984375,13460.3447265625,8422.5390625
2015-01-27,19553.451171875,18558.875,8460.7109375,37145.7421875,11240.55078125,5098.00830078125,6495.43212890625,25734.826171875,20644.291015625,21172.1796875,25276.60546875,6898.80712890625,41539.7421875,18182.810546875,14906.814453125,13560.673828125,8453.4150390625
2015-01-28,19800.58984375,18938.974609375,8612.2548828125,37922.15234375,11337.7900390625,5212.33642578125,6571.2265625,26643.94140625,21049.197265625,21309.84375,25572.49609375,6950.51318359375,41498.8515625,18401.154296875,15215.7998046875,13569.6181640625,8564.955078125
2015-01-29,19602.0859375,18822.0234375,8657.2890625,37922.15234375,11307.64453125,5107.94921875,6409.6630859375,26508.521484375,20739.796875,21228.701171875,25189.228515625,7010.17431640625,40915.5,18744.134765625,15220.7666015625,13599.41796875,8690.4423828125
2015-01-30,19742.029296875,19102.71875,8711.7568359375,38221.546875,11211.380859375,5177.541015625,6508.3955078125,26387.04296875,20103.083984375,21327.306640625,25466.25,6983.3271484375,42002.43359375,18435.056640625,15361.8505859375,13349.0869140625,8654.58984375
2015-02-02,18852.7421875,19110.513671875,8714.1865234375,39048.83984375,11130.6748046875,5129.82177734375,6675.9423828125,25641.234375,20452.28515625,21534.8203125,25291.49609375,6936.5927734375,44873.3359375,18147.912109375,15215.7998046875,13297.4267578125,8515.158203125
2015-02-03,19144.537109375,19774.232421875,8575.0419921875,37922.15234375,11278.4736328125,5219.2939453125,6721.81787109375,25947.92578125,20913.896484375,21277.435546875,25838.59375,6950.51318359375,47310.453125,18194.775390625,15934.11328125,13325.2451171875,8517.1513671875
2015-02-04,18592.701171875,19295.693359375,8485.7861328125,37963.08203125,11228.8818359375,5114.9091796875,6681.9267578125,25453.041015625,21090.982421875,21082.234375,25796.892578125,7237.88134765625,46768.9765625,17647.40625,15727.46484375,13302.3974609375,8216.3837890625
2015-02-05,18420.998046875,19459.427734375,8492.259765625,37622.7734375,11380.5712890625,5129.82177734375,6560.255859375,25523.740234375,21250.162109375,21334.71875,25490.08203125,7258.7626953125,44927.1796875,18130.970703125,15211.8232421875,13315.310546875,8310.0
2015-02-06,19054.220703125,19652.408203125,8572.34765625,37622.7734375,11605.1884765625,5157.65771484375,6582.1943359375,25560.580078125,21090.982421875,21228.701171875,25567.529296875,7200.09619140625,46624.38671875,17895.669921875,15325.0859375,13484.1845703125,8267.1728515625
2015-02-09,18781.27734375,19977.93359375,8588.52734375,38371.234375,11512.8115234375,5159.64599609375,6571.2265625,25781.638671875,21686.904296875,20851.857421875,25349.083984375,7278.64892578125,46775.95703125,17905.63671875,15236.6630859375,13594.4521484375,8303.02734375
2015-02-10,18653.244140625,19883.39453125,8570.9990234375,38770.4140625,11563.375,5159.64599609375,6482.46533203125,25746.78125,21164.6015625,20974.080078125,25319.298828125,7457.63232421875,45794.73046875,17944.517578125,15076.7060546875,13480.212890625,8256.2158203125
2015-02-11,18581.78515625,19642.662109375,8513.0205078125,39209.51171875,11571.1572265625,5113.9150390625,6608.12548828125,25234.970703125,20494.064453125,21048.193359375,25071.07421875,7560.05126953125,45587.3125,17473.923828125,14972.384765625,13224.9140625,8203.4326171875
2015-02-12,18559.953125,20466.2265625,8475.001953125,39119.6953125,11600.326171875,5218.30078125,6061.60302734375,26079.357421875,21286.97265625,20538.83203125,25686.677734375,7731.07958984375,46867.69921875,17777.017578125,15154.201171875,13357.033203125,8633.673828125
2015-02-13,18460.701171875,21181.599609375,8521.1103515625,39618.67578125,11504.0625,5218.30078125,5754.43505859375,26187.890625,21517.775390625,20292.87890625,25954.759765625,7847.41943359375,47621.5703125,17846.810546875,15303.2294921875,13572.5947265625,9013.12109375
2015-02-16,18361.44921875,21314.146484375,8582.3251953125,39568.78515625,11586.712890625,5268.0078125,5531.03955078125,26287.47265625,21439.1796875,20639.822265625,25815.75390625,7744.00634765625,47466.015625,17538.73046875,15200.896484375,13629.2197265625,9187.4072265625
2015-02-17,18412.064453125,21431.10546875,8637.3349609375,39718.47265625,11561.427734375,5254.09033203125,5306.6474609375,25505.8125,21370.537109375,20647.109375,25391.78125,7707.21435546875,47179.80859375,17398.150390625,15201.8935546875,13700.7431640625,9083.83203125
2015-02-18,18796.169921875,21633.822265625,8674.5458984375,39562.79296875,11290.1435546875,5232.21826171875,5122.1455078125,25098.556640625,21230.2578125,20227.18359375,25220.0078125,7657.4970703125,44371.74609375,16999.33984375,15225.734375,13659.0234375,8813.939453125
2015-02-19,19046.28125,21284.908203125,8888.111328125,39718.47265625,11376.6826171875,5219.2939453125,5221.87548828125,26082.34765625,21124.80859375,20583.296875,25596.32421875,7709.20263671875,42785.21484375,17460.95703125,15309.19140625,13703.7236328125,9162.5107421875
2015-02-20,18857.705078125,21750.783203125,8709.8701171875,40117.64453125,11182.2080078125,5174.55810546875,5101.203125,26187.890625,21414.314453125,20885.65234375,25509.939453125,7755.9384765625,44474.45703125,17432.046875,15431.3955078125,13678.888671875,9365.6787109375
2015-02-23,18859.6875,21130.9140625,8746.8125,41095.65234375,11221.103515625,5204.38330078125,4980.5283203125,26387.04296875,21383.470703125,21495.87890625,25418.58984375,7684.3447265625,44110.4765625,17846.810546875,15390.658203125,13566.640625,9361.6962890625
2015-02-24,18827.9296875,21238.130859375,8735.7568359375,41579.65234375,11094.6962890625,5273.97412109375,5051.3359375,26172.958984375,21004.427734375,21543.111328125,25320.294921875,7707.21435546875,42450.171875,16849.783203125,15380.7236328125,13540.8095703125,9362.6923828125
2015-02-25,19318.22265625,21243.974609375,8690.7236328125,41405.01171875,11619.7734375,5305.78564453125,5124.140625,26506.525390625,20837.291015625,21258.46875,25517.88671875,7844.43505859375,41732.1953125,16816.876953125,15571.478515625,13713.658203125,9207.328125
2015-02-26,19324.181640625,21247.87109375,8657.5576171875,42113.54296875,11610.0498046875,5373.3876953125,5372.46826171875,26529.4296875,20924.833984375,21298.041015625,25521.85546875,7740.02783203125,42321.53125,16321.357421875,15595.3251953125,13575.578125,9033.0419921875
2015-02-27,19128.654296875,21426.23046875,8674.275390625,40916.01953125,11647.97265625,5318.7099609375,5411.36328125,26860.01953125,20557.73828125,21508.189453125,25400.720703125,7517.2939453125,42252.7265625,16550.671875,15152.21484375,13490.1455078125,8954.3623046875
2015-03-02,18907.326171875,21012.984375,8467.181640625,41891.015625,11571.1572265625,5291.8681640625,5328.7822265625,26541.376953125,20496.056640625,21354.060546875,24951.92578125,7463.59912109375,41283.45703125,16521.763671875,15027.03125,13539.8154296875,8839.7841796875
2015-03-03,18287.0078125,21317.07421875,8750.3193359375,43238.25390625,11765.630859375,5240.1728515625,5110.3662109375,26588.18359375,20738.802734375,21475.404296875,24817.880859375,7420.84228515625,41417.08203125,16553.666015625,14880.9833984375,13552.7294921875,8864.6875
2015-03-04,18559.953125,20694.28125,8892.6943359375,43909.859375,12133.18359375,5251.107421875,4986.6962890625,26038.529296875,20919.865234375,21186.365234375,24829.79296875,7360.1865234375,41706.26953125,16595.54296875,14793.5517578125,13589.484375,8934.40625
2015-03-05,18472.607421875,20359.986328125,9096.015625,44019.63671875,12835.2314453125,5366.4296875,4986.6962890625,26580.21875,22157.474609375,20943.806640625,25169.373046875,7238.8759765625,40834.734375,16727.150390625,15594.3330078125,13589.484375,8959.306640625
2015-03-06,18090.490234375,20053.953125,9019.7060546875,44209.25,12640.7578125,5426.078125,4787.22900390625,26692.734375,22085.8359375,21040.28125,25120.71484375,7493.427734375,40485.70703125,16650.37890625,15601.2861328125,13438.4912109375,8968.271484375
2015-03-09,17657.76171875,19926.275390625,8925.5947265625,43294.125,12448.23046875,5338.59228515625,4418.2119140625,25590.458984375,21746.595703125,21100.828125,24808.94140625,7674.4013671875,40890.57421875,16428.0390625,15563.5322265625,13331.20703125,8765.08203125
2015-03-10,17359.009765625,19857.078125,8791.03515625,42542.671875,12446.2861328125,5229.236328125,4666.5498046875,25207.08984375,21687.896484375,21105.099609375,24053.33203125,7674.4013671875,40158.63671875,15940.494140625,15498.953125,13147.427734375,8650.537109375
2015-03-11,17249.833984375,19151.44921875,8781.0595703125,42649.45703125,12397.6640625,5259.06201171875,4624.66259765625,25665.134765625,21498.873046875,21489.7265625,23935.1796875,7755.9384765625,39605.19921875,15817.8583984375,15335.0185546875,12814.6455078125,8725.240234375
2015-03-12,17468.189453125,19415.5703125,8791.03515625,43909.859375,12640.7578125,5472.80322265625,4707.4404296875,25901.119140625,21788.37890625,21680.908203125,24475.326171875,7842.4462890625,39981.13671875,15553.6435546875,15307.2041015625,12953.720703125,8575.8359375
2015-03-13,17269.68359375,18856.1328125,8672.6572265625,44907.83203125,12645.6201171875,5416.13671875,4557.84033203125,25007.947265625,21439.1796875,21746.2265625,24046.388671875,7835.4853515625,39289.09375,15320.3388671875,15255.5400390625,12889.1474609375,8445.357421875
2015-03-16,17760.982421875,18134.900390625,8784.833984375,47103.30859375,12335.5078125,5469.82080078125,4546.86865234375,25291.732421875,21716.75,21856.771484375,24588.515625,7805.6552734375,38284.92578125,15386.5791015625,15538.6943359375,12808.68359375,8459.298828125
2015-03-17,17896.94921875,18348.421875,8777.2841796875,47103.30859375,12274.5771484375,5428.0673828125,4827.12109375,25291.732421875,21807.27734375,21605.5390625,24475.326171875,7830.5146484375,38591.05859375,16170.3154296875,15787.076171875,12914.9755859375,8639.5810546875
