Metric,Value
Annual Return,0.1592662738233252
Annual Volatility,0.21103337177539333
Sharpe Ratio,0.754697100669155
Sortino Ratio,1.0449700392404544
VaR 95%,-0.019167288096839392
CVaR 95%,-0.029300368221085143
Maximum Drawdown,-0.3456262335637935
Calmar Ratio,0.460804934223631
