Date,Portfolio Return,Wealth Index,Running Peak,Drawdown
2015-01-02,-0.0011165111177144,0.998884111948915,0.998884111948915,0.0
2015-01-05,-0.0173145030514597,0.9817377982534438,0.998884111948915,-0.017165468436590947
2015-01-06,0.0357537317738446,1.0174736259991015,1.0174736259991015,0.0
2015-01-07,0.0169421911029419,1.0348587135042349,1.0348587135042349,0.0
2015-01-08,0.0137524634333985,1.0491888818233557,1.0491888818233557,0.0
2015-01-09,-0.0144837255414546,1.034102237164809,1.0491888818233557,-0.014379340955584685
2015-01-12,0.0054001943021072,1.039701695647984,1.0491888818233557,-0.009042400600818512
2015-01-13,0.0156596172878459,1.056111174039849,1.056111174039849,0.0
2015-01-14,-0.0382418616511433,1.0164860155487578,1.056111174039849,-0.03751987429459391
2015-01-15,0.0150847636375368,1.0319357012994077,1.056111174039849,-0.022891030163013082
2015-01-16,-0.0032544345748684,1.028582792943814,1.056111174039849,-0.026065798537793228
2015-01-19,0.0114216087738423,1.0403982102872706,1.056111174039849,-0.014878134176417146
2015-01-20,0.0045548328214016,1.0451478589190069,1.056111174039849,-0.010380834319653198
2015-01-21,0.0060554010217255,1.051495848746537,1.056111174039849,-0.0043701131157030115
2015-01-22,0.0121199885986612,1.06431750867916,1.06431750867916,0.0
2015-01-23,0.0008320308332148,1.0652034221652713,1.0652034221652713,0.0
2015-01-26,0.0081853897484203,1.073958309537878,1.073958309537878,0.0
2015-01-27,0.0152300804666802,1.090439970941805,1.090439970941805,0.0
2015-01-28,0.0144293667643799,1.1062883956051528,1.1062883956051528,0.0
2015-01-29,-0.0034631588685261,1.1024637696030382,1.1062883956051528,-0.0034571690504107133
2015-01-30,0.0064570097298711,1.1096054209332185,1.1096054209332185,0.0
2015-02-02,0.0097851786659116,1.1205164041255316,1.1205164041255316,0.0
2015-02-03,-0.0065904903715632,1.1131559327523737,1.1205164041255316,-0.006568820720569524
2015-02-04,-0.0102379041772245,1.101817687944855,1.1205164041255316,-0.016687588072634596
2015-02-05,0.0006170223979027,1.1024977439200307,1.1205164041255316,-0.016080675070136885
2015-02-06,0.0013281842309972,1.1039630369123314,1.1205164041255316,-0.014772980700910487
2015-02-09,0.0019253536891398,1.1060906037201874,1.1205164041255316,-0.012874242940336345
2015-02-10,-8.900854111199865e-05,1.1059921565905952,1.1205164041255316,-0.01296210165372036
2015-02-11,0.0016701402361679,1.1078408619610889,1.1205164041255316,-0.01131223257220837
2015-02-12,-0.0179836059923631,1.0880959627797164,1.1205164041255316,-0.0289334821216799
2015-02-13,-0.0056677495487236,1.0819463510693883,1.1205164041255316,-0.03442167639325544
2015-02-16,-0.0044367239781141,1.0771566868165352,1.1205164041255316,-0.03869619146078895
2015-02-17,-0.0064807340585556,1.0701984922477603,1.1205164041255316,-0.04490600199382189
2015-02-18,-0.0127162986277087,1.0566756908439294,1.1205164041255316,-0.05697436739574058
2015-02-19,0.0142020607741595,1.071789734467738,1.1205164041255316,-0.043485904783179485
2015-02-20,-0.0021001725116726,1.069541153159932,1.1205164041255316,-0.04549264140883458
2015-02-23,0.0063024508763684,1.076303169994679,1.1205164041255316,-0.039457908842804756
2015-02-24,4.427874639785067e-05,1.07635082840491,1.1205164041255316,-0.03941537630150904
2015-02-25,-0.0014829605294029,1.0747558255660297,1.1205164041255316,-0.04083882966016383
2015-02-26,0.0095078126499454,1.0850231350819308,1.1205164041255316,-0.03167581385950369
2015-02-27,0.0001969959544053,1.0852369013048275,1.1205164041255316,-0.0314850391219722
