Date,ABSA,ANGLO,BIDVEST,CAPITEC,DISCOVERY,FIRSTRAND,GOLDFIELDS,MRPRICE,MTN,NASPERS,NEDBANK,SANLAM,SASOL,SHOPRITE,STANDARDBANK,VODACOM,WOOLWORTHS
2015-01-02,-0.01159363156330917,-0.007569908580371321,-0.008457146275791638,-0.001470383548834886,-0.017953451497003003,-0.010876283633399764,-0.0021031074887286616,-0.012382821019553902,-0.01991780737864446,0.009306195198478306,-0.018473893107675554,-0.009714194638574924,-2.3266815386446815e-05,0.003031335796298551,-0.008502940806737747,-0.016507228600629364,-0.011024539646347864
2015-01-05,-0.034131910179494684,-0.05240965821304833,-0.045169418824247076,-0.043946967952694926,-0.02056671875216598,-0.045981217928198426,0.06398507933053943,-0.04347460471946585,-0.049170530305655324,-0.010678845419424321,-0.038666011729787564,-0.05438542305692473,-0.060278086721619384,-0.041185283539851736,-0.049205468972503774,-0.03705161713816685,-0.037377268681995535
2015-01-06,0.026072176804380565,0.020197530952163145,0.016336490928545944,-0.0020332896076475926,0.035930888820028706,0.020117335513677226,0.08750438891842505,0.021216123168605883,0.02966125240395323,0.05032792824273313,0.041753664980575866,0.016018286579339014,-0.011160107422852561,0.04326334742349869,0.039479142080117935,0.014963505360516383,0.03828345644417208
2015-01-07,0.02086598985051724,-0.004986010825641096,0.013508801166119522,0.018770043672987624,-0.0008105101029206585,0.019925929416123367,0.005132227778699594,0.01433552239508451,-0.017933827134026137,0.038368968534060244,0.0057607098531846646,0.004504509486396913,0.007290732074985984,0.02482232836274023,0.023044101581209064,0.03280656760451284,0.016926950144639186
2015-01-08,0.025824307474462183,0.0023840761843705316,0.002699550826417818,0.0,0.03372086400302221,0.013293005633677524,0.022072333517770826,0.02587428626798416,-0.0006709051310034297,0.0225575458801337,0.01892982359551354,0.0014946720881896525,-0.037925503368021585,0.040291276978111856,0.015016938858293027,0.007529755518496328,0.01935482809801692
2015-01-09,-0.02683460499558843,-0.015676082417818038,-0.025307068996017534,-0.0018486018236216761,-0.02808554020013787,-0.02623714186945192,-0.007091061462520254,-0.005976915313050779,-0.020767390462645863,-0.007041055498490767,-0.02591375596106804,-0.03074613933493686,0.004843708618896603,-0.043954149169663115,-0.02171256822352996,-0.027635384256649242,-0.018734062049478473
2015-01-12,-0.020309093857059923,-0.025786505052804554,-0.0046954843599933405,-0.008531022347774142,-0.012832944949196068,-0.015921741838216263,0.09478990744528715,0.004435049386786849,-0.021011951443438814,-0.037467017979899375,-0.025907791538735347,-0.0160150217201539,-0.021025633556802314,0.0008719329916422325,-0.007561392311941084,0.013129626204633205,-0.01960800063093704
2015-01-13,0.03792081852461626,0.011134256416196031,0.022582955932089366,0.014238514001887692,0.03909097748397383,0.029454454579380007,-0.0038546803509367233,0.04483303303963515,0.01786071210067086,0.032513202540518815,0.03815129352243263,0.022378979084580752,0.0057625424175038464,0.014285628153211327,0.02998256938631716,0.02449619850948226,0.011315900856007977
2015-01-14,-0.019377303052558248,-0.08794204126617877,-0.029784963839169287,-0.027865895984905853,-0.00594936158304038,-0.024178957716834537,-0.05224006158825856,-0.020479396426604457,-0.026198117102909535,-0.030942796938601358,-0.026104759940230204,-0.020970527296103714,-0.049219141074053785,-0.009446591640664748,-0.04041097748735434,-0.013497780914560997,-0.015742832474898383
2015-01-15,0.0029805242724816328,0.0167926671158789,0.023951096823414453,0.02173908154606563,0.0121455725607027,0.010117484436570123,0.03187810018449255,0.022981671669922932,0.05239258867293328,-0.012928734544008669,0.004695840816195451,0.00046886709441285035,0.010709585119453413,0.0074559030702030515,-0.004782536218238653,0.008600414609867268,0.034368724071593526
